# m_chi [MeV], alpha_B
1.016642962727808, 1.2317078981084592e-9
1.12248155037532, 1.263412745656738e-9
1.1892381077160417, 1.2317078981084592e-9
1.2704063396548375, 1.2007986712799455e-9
1.4260076777423973, 1.2007986712799455e-9
1.600667308959396, 1.2317078981084592e-9
1.7819522296594574, 1.2317078981084592e-9
2.000208501442906, 1.2959336936453864e-9
2.245197139773529, 1.329291748954444e-9
2.5201923663512247, 1.329291748954444e-9
2.8523126801431986, 1.36350845919273e-9
3.281927872511474, 1.3986059266165261e-9
3.714432521527315, 1.3986059266165261e-9
4.238772844345205, 1.36350845919273e-9
4.680054343998134, 1.4346068224065047e-9
5.167275876081847, 1.3986059266165261e-9
6.196046884553083, 1.329291748954444e-9
7.012584964361224, 1.36350845919273e-9
7.93672946616706, 1.3986059266165261e-9
9.057101761609147, 1.3986059266165261e-9
9.999999999999996, 1.36350845919273e-9
11.411629689808688, 1.36350845919273e-9
13.022529217732298, 1.329291748954444e-9
14.860828105747498, 1.2959336936453864e-9
17.24086851512934, 1.36350845919273e-9
19.193497561821957, 1.4715344013121539e-9
23.205524975343497, 1.5094125166731947e-9
26.922012829804107, 1.6709292341600789e-9
30.722404091800293, 1.758057651144858e-9
33.92078934347971, 1.99627675847559e-9
36.83903486556653, 2.2667748659065065e-9
40.00834049244476, 2.777848839269357e-9
43.45030522109411, 3.318725271557809e-9
46.8005434399813, 4.171661398450337e-9
48.77216596885461, 4.736926965127135e-9
51.248058769609365, 5.954351068783597e-9
54.2958985962062, 7.874939765714528e-9
