# m_chi [MeV], alpha_B
1.0082871429943991, 2.834905792708972e-12
1.3130448779508392, 2.834905792708972e-12
1.5486888004572832, 2.834905792708972e-12
1.767306309557253, 2.9827282432174118e-12
2.0167845153129766, 3.05950533003675e-12
2.301479805289198, 3.138258701847491e-12
2.7596894610234863, 3.3018990925897996e-12
3.3091256780882805, 3.3018990925897996e-12
4.1011270705513, 3.474072297235082e-12
4.75794431400941, 3.474072297235082e-12
5.800171836601338, 3.474072297235082e-12
6.841092269512327, 3.6552232481913895e-12
8.068820158853175, 3.84582007828455e-12
9.36108448607987, 3.749310731122044e-12
11.31783715491855, 3.749310731122044e-12
13.022529217732298, 3.749310731122044e-12
14.983981913275018, 3.84582007828455e-12
16.543903676547473, 4.046355330513633e-12
18.116091942004132, 4.712910400225916e-12
20.16784515312976, 4.712910400225916e-12
22.8256387208736, 5.2172217195278566e-12
25.833686199985074, 6.076653307441071e-12
29.48044604369506, 7.07765883911412e-12
32.81927872511474, 8.036690853534819e-12
37.4521455497626, 1.0628942710323749e-11
41.011270705513, 1.2379845700928974e-11
44.173447031400684, 1.5171043462627527e-11
47.18838623568402, 1.9560985379668716e-11
49.58387930922875, 2.4588298502247275e-11
50.40910196447235, 3.421498355079469e-11
51.248058769609365, 4.525109981505763e-11
52.10097830158441, 5.984693902986713e-11
52.532746558917744, 7.334021239531272e-11
53.84963893812914, 1.0205399777817365e-10
