# m_chi [MeV], alpha_B
1.0082871429943991, 9.125672958174748e-12
1.249609141291987, 8.896667772886753e-12
1.5233359765771803, 9.360572864523245e-12
1.7819522296594574, 9.60151922533657e-12
2.1191654976405947, 1.010217787302196e-11
2.4383540982688285, 1.0362213559942188e-11
2.9971088008399436, 1.0628942710323749e-11
3.6536253706620134, 1.0628942710323749e-11
4.528078825320236, 1.1183175010315751e-11
5.65832869261085, 1.1183175010315751e-11
6.7848651220482035, 1.206917832641624e-11
8.20310923201435, 1.2379845700928974e-11
9.999999999999996, 1.206917832641624e-11
11.601553017399715, 1.1766307027873884e-11
13.571144898264281, 1.206917832641624e-11
16.139322678352023, 1.2379845700928974e-11
17.527807647221668, 1.302537654471725e-11
19.035745615897994, 1.4419174489476824e-11
21.54434690031882, 1.5171043462627527e-11
23.787241732934994, 1.6794441383253744e-11
26.047773651596792, 1.8591553182901326e-11
28.759502031882835, 2.05809673489528e-11
32.01668359362323, 2.3971264790845155e-11
35.05926986762878, 2.8638722571206118e-11
37.14432521527315, 3.3356371952111685e-11
40.674197812061955, 3.692571541883436e-11
43.81038411361162, 4.6415888336127916e-11
47.18838623568402, 5.984693902986713e-11
49.99478800728132, 7.522803032415986e-11
52.532746558917744, 1.0468092454077566e-10
54.2958985962062, 1.3158467071782076e-10
