# from red line (95% confidence). fig4
# mchi [GeV], cross section [cm^2]
30.322555845818577, 5.801010720653064e-41
32.54436948783501, 4.5540121735800326e-41
35.23910002030348, 3.747336413815641e-41
37.158437112726915, 3.021982806112705e-41
40.95283652909248, 2.404484425327384e-41
44.73749340917628, 1.9521398966597536e-41
48.44183586020697, 1.5848933387858286e-41
53.38845069923676, 1.2442010377536454e-41
59.8895593122033, 9.96644333275646e-42
67.18236191904718, 7.983435931252878e-42
76.70732632833823, 6.35213652389677e-42
88.36032644629948, 5.1225844806793375e-42
100, 4.272253544755407e-42
118.28693581804184, 3.6848812074177063e-42
136.25639564555436, 3.2648914853630584e-42
161.17351526523404, 3.032158650009289e-42
179.2086383349363, 2.931928245179822e-42
201.03102674165245, 2.931928245179822e-42
225.51056346367136, 2.971616748987185e-42
255.21719421644733, 3.073203938318533e-42
301.8883544180805, 3.2430149771873896e-42
350.8372638294529, 3.4919320550366133e-42
407.7225380933902, 3.785317201950961e-42
482.2824969502192, 4.215193915133037e-42
565.4567509742933, 4.725552971755603e-42
668.8609228320652, 5.297704290352628e-42
784.2124204588868, 6.019523533380921e-42
911.366522849849, 6.793864128472685e-42
1126.7396963005865, 8.201034350961448e-42
1368.5993864441748, 9.702003235749845e-42
1707.048080462237, 1.1950121267175685e-41
2205.819741030504, 1.5428412913040365e-41
3032.2555845818547, 2.1161551118479042e-41
3988.1166078250894, 2.825497683541692e-41
5629.631252530562, 3.954397504513799e-41
6960.019760135117, 4.8380634244196e-41
9912.00385972927, 6.591407147270594e-41
