# m_A' [MeV], alpha_B
1.9988085493282952, 4.6303639150827346e-10
2.751621442220962, 1.7117433097599751e-9
3.9716561685781357, 7.533063714817436e-9
6.010633014681037, 4.243852244032373e-8
7.394258581160919, 9.855777172591403e-8
