# m_A' [MeV], alpha_B
29.8936029218095, 1.535040695700828e-8
32.476406980624425, 1.2166721679992858e-8
35.28236503073574, 1.4483823682679309e-8
44.44416069725338, 1.557503450838685e-8
48.85915235635728, 9.367179378839874e-9
51.83855723911742, 6.5144871646876334e-9
54.67502539714899, 3.917958970042618e-9
59.398941677194955, 2.2888717295007637e-9
62.279404879752406, 1.4379004339415283e-9
67.66033872451985, 1.7367911385997473e-9
69.28143967102876, 1.5918159459113248e-9
71.36253273945879, 2.0377377686989175e-9
77.07070888294395, 2.2888717295007637e-9
82.25587878489021, 1.568857717673282e-9
89.89334686963159, 2.0377377686989175e-9
92.04713729460332, 3.0605849583492763e-9
101.19084692056326, 4.400816012931876e-9
107.36141044583346, 3.917958970042618e-9
109.93372514855606, 5.163375908921593e-9
111.24293786171489, 7.983775292280377e-9
114.58448082033524, 1.3274815251789663e-8
115.94907988961941, 1.9367172188482743e-8
120.85431565967562, 3.778218714042426e-8
123.74991224105337, 9.435467432584656e-8
