# m_A' [MeV], alpha_B
14.096140597906619, 1.5239310244230203e-9
19.405175384762536, 1.4171620775814211e-9
30.974371503543203, 1.3967239072288858e-9
39.249139407284765, 1.4171620775814211e-9
49.44102132634501, 1.5462318079061876e-9
62.279404879752406, 1.6870554093206285e-9
75.26734856434335, 2.0377377686989175e-9
88.31112747216378, 2.685481441753124e-9
98.82310487449891, 3.437776192063104e-9
108.63998918287157, 6.236668959104672e-9
121.57178095101821, 1.1818304000570531e-8
128.22394695317104, 1.965058600888201e-8
134.4418912724936, 2.705058978769162e-8
172.38669934808203, 3.08289705270273e-8
212.06941512947833, 3.6170933980972304e-8
254.7824953255958, 4.122322900855324e-8
283.4275329575789, 4.563583940085077e-8
332.54532635410396, 6.191532422678842e-8
390.17495233618536, 9.71363436757738e-8
