# m_A' [MeV], alpha_B
2.0106753375973474, 1.6151093553159594e-11
2.3176001217012088, 2.0377375710780424e-11
2.639938612771628, 2.5338775141839707e-11
3.345196249826711, 2.5709555795190865e-11
4.164254402323696, 2.1596568377727585e-11
5.499964463226313, 2.191260656295556e-11
7.661587011879876, 2.191260656295556e-11
10.423050857732182, 1.8676414723303017e-11
13.129611545970507, 2.191260656295556e-11
16.05666730132112, 2.0675572569036164e-11
21.08178043892329, 2.2558607554857612e-11
26.71377084926418, 2.3223653167505328e-11
34.45680084474328, 2.6854811813137397e-11
42.38861600118523, 2.9300623169168254e-11
56.98805703622826, 3.917960109939923e-11
64.91414044509531, 4.530556871691277e-11
82.25587878489021, 6.70653875407707e-11
105.47173437900229, 1.4910816827093447e-10
118.02647249654454, 4.0042717987175535e-10
132.85965120747613, 1.1070415205470922e-9
163.44340156420213, 1.4589411377390284e-9
197.52852933733809, 2.0675566553653383e-9
259.3472859446088, 3.1508134262959824e-9
330.5825753180992, 5.970700963989275e-9
397.1654913052072, 1.252540626874276e-8
