Z,N,symbol,start level #,start level energy [keV], unc, start level jp,final level #,final level energy [keV], unc,final level jp, idx, energy [keV], unc, relative intensity , unc, multipolarity, mixing ratio, unc, B(E1), B(E1) unc, B(E2), B(E2) unc, B(M1), B(M1) unc, B(M2), B(M2) unc,tot conv coeff,unc,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
32,44,Ge,88,4476.5,0.2,(LE 4),1,562.93,0.03,2+,1,3913.3,0.5,11,3, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,95,4719.9,0.2,(2 3 4),45,3409.19,0.19,(1 TO 4),0,1310.6,0.3,75,13, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,95,4719.9,0.2,(2 3 4),20,2841.57,0.13,2+,1,1878.3,0.2,98,11, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,95,4719.9,0.2,(2 3 4),8,2284.22,0.24,(3)-,2,2435.6,0.3,100,13, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,98,4784.1,0.3,(1 TO 4),41,3322.85,0.07,(2+ 3 4+),0,1461.2,0.3,74,15, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,98,4784.1,0.3,(1 TO 4),2,1108.44,0.04,2+,1,3675.6,0.45,100,11, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,99,4812.5,0.2,(2+ 3 4+),22,2919.79,0.07,(1 2+),0,1892.7,0.2,100,7, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,99,4812.5,0.2,(2+ 3 4+),3,1410.08,0.05,4+,1,3402.4,0.3,33,5, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,100,4814.8,0.3,(1 TO 4),56,3632.75,0.1,(2+),0,1182.1,0.3,100,15, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,100,4814.8,0.3,(1 TO 4),39,3312.33,0.12,3-,1,1502.3,0.5,96,13, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,104,5122.48,0.14,(1 TO 4),56,3632.75,0.1,(2+),0,1489.6,0.4,34,10, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,104,5122.48,0.14,(1 TO 4),34,3182.21,0.06,(2+),1,1940.3,0.14,100,7, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,104,5122.48,0.14,(1 TO 4),32,3141.51,0.07,2+,2,1980.4,0.5,32,6, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,106,5522.6,0.2,(1 TO 4),80,4239.4,0.15,(1 TO 4),0,1282.9,0.4,81, , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,106,5522.6,0.2,(1 TO 4),20,2841.57,0.13,2+,1,2680.9,0.3,92,10, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,106,5522.6,0.2,(1 TO 4),15,2654.51,0.21,(LE 4),2,2868.1,0.2,100,14, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,107,5663.37,0.15,(2+),34,3182.21,0.06,(2+),0,2481.1,0.4,50,10, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,107,5663.37,0.15,(2+),16,2692.4,0.08,3-,1,2970.9,0.15,100,12, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,107,5663.37,0.15,(2+),5,1911.07,0.11,0+,2,3752.1,0.5,42,9, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,107,5663.37,0.15,(2+),3,1410.08,0.05,4+,3,4253.3,0.5,57,9, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,108,5749.9,0.4,(1 TO 4),19,2768.76,0.14,2+,0,2981.2,0.4,100,20, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,108,5749.9,0.4,(1 TO 4),8,2284.22,0.24,(3)-,1,3465.5,0.4,68,13, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,109,5883,0.3,(1 TO 4),34,3182.21,0.06,(2+),0,2700.5,0.4,94,16, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,109,5883,0.3,(1 TO 4),16,2692.4,0.08,3-,1,3190.6,0.3,100,13, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,110,6021.1,0.3,(1 TO 4),16,2692.4,0.08,3-,0,3328.7,0.8,100,30, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,110,6021.1,0.3,(1 TO 4),15,2654.51,0.21,(LE 4),1,3366.5,0.3,73,14, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,110,6021.1,0.3,(1 TO 4),8,2284.22,0.24,(3)-,2,3736.9,0.45,80,20, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,111,6065.2,0.4,(1 TO 4),34,3182.21,0.06,(2+),0,2882.9,0.9,47,16, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,111,6065.2,0.4,(1 TO 4),22,2919.79,0.07,(1 2+),1,3145.3,0.4,100,20, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28

