# inelastic nu-c12 scattering
# Include only n=1->13 multipole transition, see more at BigstickPublick/examples/C/C12_YSOX_more_states/
# nu energy [MeV], inelastic cross section [cm^2]
88,1.079783188699243e-40
89,1.0951416256578696e-40
90,1.1101339763160635e-40
91,1.1247535521366228e-40
92,1.1389943426820379e-40
93,1.1528510120126092e-40
94,1.1663188936916066e-40
95,1.1793939844392497e-40
96,1.192072936480265e-40
97,1.2043530486325523e-40
98,1.216232256187038e-40
99,1.2277091196311634e-40
100,1.2387828122705629e-40
101,1.2494531068054085e-40
102,1.259720360919577e-40
103,1.2695855019422812e-40
104,1.2790500106430005e-40
105,1.2881159042216334e-40
106,1.2967857185565263e-40
107,1.305062489773663e-40
108,1.312949735200646e-40
109,1.3204514337692564e-40
110,1.3275720059303328e-40
111,1.3343162931444737e-40
112,1.3406895370115953e-40
113,1.3466973581017682e-40
114,1.352345734548943e-40
115,1.3576409804681626e-40
116,1.3625897242557462e-40
117,1.3671988868305915e-40
118,1.3714756598732967e-40
119,1.3754274841182065e-40
120,1.379062027751768e-40
121,1.3823871649687249e-40
122,1.3854109547357406e-40
123,1.3881416198099659e-40
124,1.3905875260579475e-40
125,1.3927571621180144e-40
126,1.394659119447032e-40
127,1.3963020727900096e-40
128,1.397694761108673e-40
129,1.3988459690026713e-40
130,1.3997645086545875e-40
131,1.4004592023274574e-40
132,1.4009388654409723e-40
133,1.401212290250042e-40
134,1.4012882301468972e-40
135,1.4011753846053958e-40
136,1.4008823847837862e-40
137,1.4004177797996677e-40
138,1.3997900236885876e-40
139,1.3990074630552695e-40
140,1.3980783254242443e-40
141,1.3970107082943661e-40
142,1.3958125688995487e-40
143,1.394491714675918e-40
144,1.3930557944335939e-40
145,1.3915122902292967e-40
146,1.389868509934151e-40
147,1.3881315804892513e-40
148,1.3863084418398558e-40
149,1.3844058415374809e-40
150,1.382430329997643e-40
151,1.3803882563995849e-40
152,1.3782857652130144e-40
153,1.376128793335643e-40
154,1.3739230678241966e-40
155,1.3716741042005748e-40
156,1.3693872053042815e-40
157,1.3670674607284866e-40
158,1.3647197466751712e-40
159,1.3623487263996713e-40
160,1.3599588510786359e-40
161,1.3575543611365849e-40
162,1.3551392879986401e-40
163,1.3527174562463242e-40
164,1.35029248615316e-40
165,1.3478677965766892e-40
166,1.345446608183492e-40
167,1.3430319469838597e-40
168,1.3406266481528717e-40
169,1.338233360114838e-40
170,1.3358545488683192e-40
171,1.3334925025292414e-40
172,1.3311493360700234e-40
173,1.3288269962330295e-40
174,1.326527266597192e-40
175,1.324251772777102e-40
176,1.3220019877345119e-40
177,1.3197792371827452e-40
178,1.3175847050651718e-40
179,1.3154194390895783e-40
180,1.313284356300968e-40
181,1.3111802486760254e-40
182,1.3091077887232538e-40
183,1.307067535073533e-40
184,1.3050599380466178e-40
185,1.303085345179885e-40
186,1.301144006706431e-40
187,1.2992360809703843e-40
188,1.2973616397681357e-40
189,1.295520673604923e-40
190,1.2937130968570477e-40
191,1.2919387528307252e-40
192,1.2901974187093798e-40
193,1.288488810381925e-40
194,1.2868125871453076e-40
195,1.2851683562753549e-40
196,1.2835556774606119e-40
197,1.281974067094604e-40
198,1.2804230024225807e-40
199,1.278901925539472e-40
200,1.2774102472363867e-40
201,1.275947350693605e-40
202,1.2745125950185587e-40
203,1.2731053186278745e-40
204,1.2717248424730508e-40
205,1.2703704731098355e-40
206,1.2690415056118474e-40
207,1.267737226329439e-40
208,1.2664569154951505e-40
209,1.2651998496775774e-40
210,1.2639653040857559e-40
211,1.262752554726544e-40
212,1.2615608804177676e-40
213,1.260389564660176e-40
214,1.259237897371514e-40
215,1.2581051764862358e-40
216,1.2569907094245884e-40
217,1.2558938144349833e-40
218,1.2548138218137084e-40
219,1.2537500750061966e-40
220,1.2527019315941416e-40
221,1.2516687641728787e-40
222,1.2506499611166463e-40
223,1.249644927277343e-40
224,1.248653084518561e-40
225,1.24767387222659e-40
226,1.2467067477000601e-40
227,1.245751186463972e-40
228,1.244806682505771e-40
229,1.243872748437969e-40
230,1.2429489155917258e-40
231,1.2420347340457772e-40
232,1.2411297725949894e-40
233,1.2402336186627482e-40
234,1.2393458781612962e-40
235,1.2384661753040181e-40
236,1.237594152373583e-40
237,1.236729469449714e-40
238,1.235871804100253e-40
239,1.2350208510390584e-40
240,1.2341763217541396e-40
241,1.2333379441092936e-40
242,1.2325054619224088e-40
243,1.231678634523383e-40
244,1.2308572362946019e-40
245,1.23004105619662e-40
246,1.2292298972816864e-40
247,1.2284235761975345e-40
248,1.227621922683759e-40
249,1.2268247790629566e-40
250,1.2260319997286565e-40
251,1.2252434506319622e-40
252,1.2244590087686802e-40
253,1.2236785616685798e-40
254,1.2229020068883184e-40
255,1.2221292515094332e-40
256,1.2213602116426934e-40
257,1.2205948119399834e-40
258,1.2198329851147857e-40
259,1.2190746714722205e-40
260,1.2183198184495031e-40
261,1.2175683801675771e-40
262,1.2168203169945945e-40
263,1.2160755951218137e-40
264,1.2153341861524207e-40
265,1.214596066703677e-40
266,1.2138612180227317e-40
267,1.2131296256163765e-40
268,1.2124012788949254e-40
269,1.2116761708303597e-40
270,1.2109542976288313e-40
271,1.2102356584175094e-40
272,1.2095202549457825e-40
273,1.2088080913006986e-40
274,1.208099173636564e-40
275,1.2073935099184996e-40
276,1.2066911096797867e-40
277,1.205991983792765e-40
278,1.2052961442530165e-40
279,1.2046036039765593e-40
280,1.203914376609735e-40
281,1.203228476351473e-40
282,1.2025459177875614e-40
283,1.201866715736589e-40
284,1.201190885107162e-40
285,1.200518440766021e-40
286,1.1998493974166648e-40
287,1.1991837694880686e-40
288,1.1985215710331132e-40
289,1.1978628156362996e-40
290,1.1972075163303457e-40
291,1.1965556855212704e-40
292,1.1959073349215463e-40
293,1.1952624754909231e-40
294,1.194621117384528e-40
295,1.1939832699078555e-40
296,1.1933489414782518e-40
297,1.1927181395925253e-40
298,1.1920908708003115e-40
299,1.1914671406828438e-40
300,1.1908469538367526e-40
301,1.1902303138625947e-40
302,1.1896172233577322e-40
303,1.1890076839133003e-40
304,1.1884016961149086e-40
305,1.187799259546806e-40
306,1.1872003727992152e-40
307,1.1866050334785748e-40
308,1.18601323822041e-40
309,1.1854249827046048e-40
310,1.1848402616728186e-40
311,1.184259068947839e-40
312,1.1836813974546386e-40
313,1.1831072392429512e-40
314,1.1825365855111567e-40
315,1.1819694266313135e-40
316,1.1814057521702866e-40
317,1.1808455509360203e-40
318,1.180288810975772e-40
319,1.1797355196235878e-40
320,1.1791856635237901e-40
321,1.1786392286596094e-40
322,1.1780962003819698e-40
323,1.1775565634383264e-40
324,1.1770203020014588e-40
325,1.1764873996981287e-40
326,1.1759578396375296e-40
327,1.175431604439454e-40
328,1.1749086762621002e-40
329,1.1743890368294836e-40
330,1.1738726674583725e-40
331,1.173359549084723e-40
332,1.1728496622895574e-40
333,1.1723429873242566e-40
334,1.1718395041352313e-40
335,1.1713391923879521e-40
336,1.1708420314903035e-40
337,1.1703480006152558e-40
338,1.1698570787228323e-40
339,1.169369244581365e-40
340,1.168884476788028e-40
341,1.1684027537886431e-40
342,1.1679240538967595e-40
343,1.1674483553120054e-40
344,1.1669756361377086e-40
345,1.1665058743978024e-40
346,1.1660390480530157e-40
347,1.1655751350163507e-40
348,1.165114113167873e-40
349,1.1646559603688132e-40
350,1.1642006544749932e-40
351,1.163748173349598e-40
352,1.1632984948752983e-40
353,1.1628515969657478e-40
354,1.1624074575764666e-40
355,1.161966054715127e-40
356,1.1615273664512554e-40
357,1.1610913709253834e-40
358,1.1606580463576394e-40
359,1.1602273710558255e-40
360,1.1597993234229783e-40
361,1.1593738819644412e-40
362,1.1589510252944672e-40
363,1.1585307321423564e-40
364,1.1581129813581685e-40
365,1.1576977519180078e-40
366,1.1572850229289086e-40
367,1.1568747736333323e-40
368,1.1564669834133029e-40
369,1.156061631794181e-40
370,1.155658698448111e-40
371,1.1552581631971408e-40
372,1.1548600060160433e-40
373,1.1544642070348438e-40
374,1.154070746541072e-40
375,1.1536796049817554e-40
376,1.153290762965164e-40
377,1.152904201262321e-40
378,1.152519900808292e-40
379,1.1521378427032648e-40
380,1.151758008213431e-40
381,1.1513803787716866e-40
382,1.15100493597815e-40
383,1.150631661600524e-40
384,1.1502605375742986e-40
385,1.1498915460028077e-40
386,1.1495246691571603e-40
387,1.1491598894760325e-40
388,1.1487971895653543e-40
389,1.1484365521978764e-40
390,1.148077960312641e-40
391,1.1477213970143589e-40
392,1.147366845572693e-40
393,1.1470142894214685e-40
394,1.146663712157803e-40
395,1.1463150975411704e-40
396,1.1459684294923971e-40
397,1.145623692092612e-40
398,1.1452808695821304e-40
399,1.1449399463592977e-40
400,1.1446009069792894e-40
401,1.14426373615287e-40
402,1.1439284187451152e-40
403,1.1435949397741099e-40
404,1.1432632844096096e-40
405,1.142933437971684e-40
406,1.1426053859293333e-40
407,1.1422791138990948e-40
408,1.1419546076436237e-40
409,1.141631853070267e-40
410,1.1413108362296246e-40
411,1.1409915433141032e-40
412,1.1406739606564612e-40
413,1.140358074728352e-40
414,1.140043872138861e-40
415,1.1397313396330455e-40
416,1.1394204640904716e-40
417,1.139111232523753e-40
418,1.1388036320770961e-40
419,1.1384976500248461e-40
420,1.1381932737700375e-40
421,1.1378904908429576e-40
422,1.1375892888997077e-40
423,1.13728965572084e-40
424,1.1369915792096388e-40
425,1.1366950473913182e-40
426,1.1364000484110196e-40
427,1.1361065705327264e-40
428,1.1358146021378318e-40
429,1.135524131723775e-40
430,1.1352351479026874e-40
431,1.1349476394000574e-40
432,1.134661595053404e-40
433,1.1343770038109636e-40
434,1.1340938547303922e-40
435,1.1338121369774802e-40
436,1.1335318398248784e-40
437,1.1332529526508433e-40
438,1.1329754649379914e-40
439,1.1326993662720687e-40
440,1.1324246463407396e-40
441,1.1321512949323797e-40
442,1.131879301934892e-40
443,1.1316086573345359e-40
444,1.1313393512147623e-40
445,1.1310713737550735e-40
446,1.130804715229896e-40
447,1.1305393660074541e-40
448,1.1302753165486788e-40
449,1.1300125574061114e-40
450,1.1297510792228318e-40
451,1.1294908727314007e-40
452,1.1292319287528043e-40
453,1.1289742381954296e-40
454,1.1287177920540385e-40
455,1.1284625814087601e-40
456,1.1282085974207033e-40
457,1.1279558313445748e-40
458,1.1277042745072952e-40
459,1.1274539183206625e-40
460,1.1272047542770053e-40
461,1.126956773948248e-40
462,1.126709968984996e-40
463,1.1264643311156294e-40
464,1.126219852145408e-40
465,1.1259765239555926e-40
466,1.1257343385025694e-40
467,1.125493287816996e-40
468,1.1252533640029533e-40
469,1.1250145592371059e-40
470,1.1247768657678812e-40
471,1.1245402759146545e-40
472,1.1243047820669444e-40
473,1.1240703766836211e-40
474,1.1238370522921247e-40
475,1.1236048014876918e-40
476,1.1233736169325957e-40
477,1.1231434913553964e-40
478,1.1229144175501946e-40
479,1.1226863883758972e-40
480,1.1224593967555233e-40
481,1.122233435675435e-40
482,1.122008498184691e-40
483,1.121784577394322e-40
484,1.1215616664766538e-40
485,1.1213397586646317e-40
486,1.1211188472511501e-40
487,1.120898925588399e-40
488,1.1206799870872094e-40
489,1.1204620252164137e-40
490,1.120245033502214e-40
491,1.1200290055275554e-40
492,1.119813934931507e-40
493,1.1195998154086616e-40
494,1.1193866407085237e-40
495,1.1191744046349215e-40
496,1.118963101045424e-40
497,1.1187527238507584e-40
498,1.1185432670142393e-40
499,1.1183347245512105e-40
500,1.1181270905284798e-40
501,1.1179203590637806e-40
502,1.1177145243252195e-40
503,1.1175095805307474e-40
504,1.1173055219476298e-40
505,1.117102342891924e-40
506,1.1169000377279613e-40
507,1.1166986008678427e-40
508,1.1164980267709361e-40
509,1.1162983099433751e-40
510,1.116099444937575e-40
511,1.1159014263517442e-40
512,1.1157042488294112e-40
513,1.1155079070589482e-40
514,1.1153123957731073e-40
515,1.1151177097485616e-40
516,1.1149238438054469e-40
517,1.1147307928069146e-40
518,1.1145385516586912e-40
519,1.1143471153086346e-40
520,1.1141564787463086e-40
521,1.1139666370025449e-40
522,1.113777585149034e-40
523,1.1135893182978989e-40
524,1.113401831601287e-40
525,1.113215120250962e-40
526,1.1130291794779041e-40
527,1.1128440045519077e-40
528,1.1126595907811972e-40
529,1.11247593351203e-40
530,1.112293028128323e-40
531,1.1121108700512682e-40
532,1.1119294547389597e-40
533,1.1117487776860258e-40
534,1.111568834423264e-40
535,1.1113896205172805e-40
536,1.1112111315701319e-40
537,1.1110333632189772e-40
538,1.110856311135725e-40
539,1.1106799710266936e-40
540,1.11050433863227e-40
541,1.1103294097265735e-40
542,1.110155180117127e-40
543,1.1099816456445243e-40
544,1.1098088021821081e-40
545,1.1096366456356534e-40
546,1.1094651719430446e-40
547,1.1092943770739691e-40
548,1.1091242570296023e-40
549,1.1089548078423068e-40
550,1.1087860255753264e-40
551,1.1086179063224905e-40
552,1.1084504462079184e-40
553,1.1082836413857252e-40
554,1.1081174880397392e-40
555,1.1079519823832076e-40
556,1.1077871206585245e-40
557,1.107622899136946e-40
558,1.1074593141183168e-40
559,1.1072963619307972e-40
560,1.107134038930597e-40
561,1.1069723415017045e-40
562,1.106811266055626e-40
563,1.1066508090311267e-40
564,1.1064909668939725e-40
565,1.1063317361366742e-40
566,1.1061731132782378e-40
567,1.1060150948639156e-40
568,1.10585767746496e-40
569,1.105700857678382e-40
570,1.1055446321267075e-40
571,1.105388997457742e-40
572,1.105233950344336e-40
573,1.1050794874841507e-40
574,1.1049256055994283e-40
575,1.1047723014367673e-40
576,1.104619571766896e-40
577,1.1044674133844477e-40
578,1.1043158231077429e-40
579,1.104164797778575e-40
580,1.1040143342619904e-40
581,1.103864429446075e-40
582,1.1037150802417515e-40
583,1.1035662835825612e-40
584,1.1034180364244654e-40
585,1.1032703357456385e-40
586,1.1031231785462666e-40
587,1.1029765618483514e-40
588,1.1028304826955095e-40
589,1.1026849381527765e-40
590,1.1025399253064183e-40
591,1.1023954412637389e-40
592,1.1022514831528895e-40
593,1.1021080481226858e-40
594,1.1019651333424154e-40
595,1.101822736001666e-40
596,1.1016808533101359e-40
597,1.1015394824974588e-40
598,1.1013986208130261e-40
599,1.1012582655258139e-40
600,1.1011184139242026e-40
601,1.1009790633158169e-40
602,1.1008402110273438e-40
603,1.1007018544043757e-40
604,1.100563990811236e-40
605,1.1004266176308201e-40
606,1.1002897322644289e-40
607,1.1001533321316108e-40
608,1.1000174146700035e-40
609,1.0998819773351702e-40
610,1.099747017600452e-40
611,1.0996125329568065e-40
612,1.0994785209126582e-40
613,1.0993449789937493e-40
614,1.0992119047429862e-40
615,1.0990792957202934e-40
616,1.0989471495024674e-40
617,1.09881546368303e-40
618,1.0986842358720876e-40
619,1.0985534636961856e-40
620,1.0984231447981715e-40
621,1.0982932768370519e-40
622,1.0981638574878585e-40
623,1.0980348844415084e-40
624,1.0979063554046714e-40
625,1.097778268099638e-40
626,1.0976506202641805e-40
627,1.0975234096514309e-40
628,1.0973966340297426e-40
629,1.0972702911825699e-40
630,1.0971443789083376e-40
631,1.0970188950203122e-40
632,1.096893837346484e-40
633,1.0967692037294378e-40
634,1.0966449920262354e-40
635,1.0965212001082917e-40
636,1.0963978258612582e-40
637,1.0962748671849004e-40
638,1.096152321992986e-40
639,1.0960301882131636e-40
640,1.0959084637868512e-40
641,1.0957871466691208e-40
642,1.0956662348285883e-40
643,1.0955457262472984e-40
644,1.0954256189206185e-40
645,1.0953059108571214e-40
646,1.0951866000784873e-40
647,1.0950676846193913e-40
648,1.0949491625273966e-40
649,1.09483103186285e-40
650,1.094713290698779e-40
651,1.0945959371207885e-40
652,1.0944789692269584e-40
653,1.094362385127739e-40
654,1.094246182945861e-40
655,1.0941303608162238e-40
656,1.0940149168858044e-40
657,1.0938998493135604e-40
658,1.0937851562703297e-40
659,1.0936708359387416e-40
660,1.0935568865131147e-40
661,1.0934433061827214e-40
662,1.0933300931982954e-40
663,1.0932172457720173e-40
664,1.0931047621440494e-40
665,1.0929926405657936e-40
666,1.0928808792997915e-40
667,1.0927694766196434e-40
668,1.0926584308099187e-40
669,1.0925477401660685e-40
670,1.092437402994339e-40
671,1.092327417611692e-40
672,1.0922177823457113e-40
673,1.0921084955345268e-40
674,1.09199955552673e-40
675,1.0918909606812895e-40
676,1.0917827093674727e-40
677,1.0916747999647655e-40
678,1.091567230862791e-40
679,1.0914600004612294e-40
680,1.0913531071697457e-40
681,1.0912465494079047e-40
682,1.0911403256051e-40
683,1.0910344342004748e-40
684,1.0909288736428488e-40
685,1.0908236423906408e-40
686,1.0907187389117983e-40
687,1.0906141616837207e-40
688,1.090509909193191e-40
689,1.0904059799362992e-40
690,1.0903023724183734e-40
691,1.0901990851539103e-40
692,1.0900961166665021e-40
693,1.0899934654887708e-40
694,1.0898911301622981e-40
695,1.0897891092375547e-40
696,1.0896874012738368e-40
697,1.0895860048391982e-40
698,1.0894849185103835e-40
699,1.08938414087276e-40
700,1.0892836705202598e-40
701,1.0891835060553064e-40
702,1.0890836460887573e-40
703,1.0889840892398381e-40
704,1.088884834136081e-40
705,1.0887858794132614e-40
706,1.0886872237153375e-40
707,1.0885888656943868e-40
708,1.0884908040105488e-40
709,1.0883930373319637e-40
710,1.0882955643347134e-40
711,1.0881983837027585e-40
712,1.088101494127889e-40
713,1.0880048943096553e-40
714,1.0879085829553195e-40
715,1.0878125587797954e-40
716,1.0877168205055934e-40
717,1.0876213668627605e-40
718,1.0875261965888289e-40
719,1.0874313084287606e-40
720,1.0873367011348923e-40
721,1.0872423734668817e-40
722,1.0871483241916532e-40
723,1.0870545520833482e-40
724,1.0869610559232668e-40
725,1.0868678344998212e-40
726,1.086774886608482e-40
727,1.086682211051725e-40
728,1.0865898066389843e-40
729,1.0864976721865994e-40
730,1.0864058065177676e-40
731,1.0863142084624905e-40
732,1.0862228768575281e-40
733,1.0861318105463507e-40
734,1.086041008379091e-40
735,1.085950469212492e-40
736,1.0858601919098637e-40
737,1.0857701753410366e-40
738,1.085680418382313e-40
739,1.0855909199164226e-40
740,1.0855016788324733e-40
741,1.085412694025909e-40
742,1.085323964398468e-40
743,1.0852354888581296e-40
744,1.0851472663190752e-40
745,1.0850592957016474e-40
746,1.0849715759323e-40
747,1.084884105943559e-40
748,1.0847968846739792e-40
749,1.0847099110680998e-40
750,1.0846231840764079e-40
751,1.0845367026552881e-40
752,1.0844504657669906e-40
753,1.0843644723795827e-40
754,1.0842787214669128e-40
755,1.0841932120085683e-40
756,1.0841079429898334e-40
757,1.084022913401658e-40
758,1.0839381222406062e-40
759,1.0838535685088261e-40
760,1.0837692512140087e-40
761,1.0836851693693475e-40
762,1.0836013219935063e-40
763,1.0835177081105737e-40
764,1.0834343267500335e-40
765,1.0833511769467186e-40
766,1.0832682577407842e-40
767,1.0831855681776653e-40
768,1.0831031073080382e-40
769,1.0830208741877949e-40
770,1.0829388678779954e-40
771,1.0828570874448392e-40
772,1.0827755319596308e-40
773,1.0826942004987399e-40
774,1.082613092143573e-40
775,1.0825322059805352e-40
776,1.0824515411009973e-40
777,1.0823710966012653e-40
778,1.0822908715825368e-40
779,1.0822108651508865e-40
780,1.0821310764172098e-40
781,1.0820515044972151e-40
782,1.0819721485113697e-40
783,1.0818930075848805e-40
784,1.0818140808476612e-40
785,1.0817353674342946e-40
786,1.0816568664840091e-40
787,1.0815785771406421e-40
788,1.0815004985526086e-40
789,1.0814226298728794e-40
790,1.0813449702589396e-40
791,1.0812675188727652e-40
792,1.0811902748807916e-40
793,1.0811132374538849e-40
794,1.0810364057673113e-40
795,1.0809597790007069e-40
796,1.0808833563380547e-40
797,1.080807136967648e-40
798,1.080731120082069e-40
799,1.0806553048781537e-40
800,1.0805796905569693e-40
801,1.0805042763237878e-40
802,1.0804290613880509e-40
803,1.0803540449633517e-40
804,1.0802792262673998e-40
805,1.0802046045219994e-40
806,1.0801301789530215e-40
807,1.0800559487903748e-40
808,1.079981913267986e-40
809,1.079908071623766e-40
810,1.0798344230995884e-40
811,1.0797609669412642e-40
812,1.0796877023985125e-40
813,1.079614628724941e-40
814,1.0795417451780155e-40
815,1.0794690510190384e-40
816,1.0793965455131233e-40
817,1.0793242279291694e-40
818,1.0792520975398386e-40
819,1.0791801536215298e-40
820,1.0791083954543592e-40
821,1.079036822322128e-40
822,1.0789654335123095e-40
823,1.0788942283160179e-40
824,1.0788232060279862e-40
825,1.0787523659465485e-40
826,1.07868170737361e-40
827,1.0786112296146287e-40
828,1.0785409319785928e-40
829,1.0784708137779942e-40
830,1.0784008743288133e-40
831,1.0783311129504905e-40
832,1.0782615289659118e-40
833,1.0781921217013736e-40
834,1.0781228904865771e-40
835,1.0780538346545987e-40
836,1.0779849535418682e-40
837,1.0779162464881502e-40
838,1.0778477128365254e-40
839,1.0777793519333615e-40
840,1.0777111631283035e-40
841,1.077643145774244e-40
842,1.0775752992273114e-40
843,1.0775076228468416e-40
844,1.0774401159953629e-40
845,1.0773727780385754e-40
846,1.0773056083453318e-40
847,1.0772386062876163e-40
848,1.0771717712405255e-40
849,1.0771051025822521e-40
850,1.077038599694061e-40
851,1.0769722619602751e-40
852,1.0769060887682524e-40
853,1.0768400795083706e-40
854,1.0767742335740065e-40
855,1.0767085503615181e-40
856,1.0766430292702273e-40
857,1.0765776697024019e-40
858,1.0765124710632344e-40
859,1.0764474327608293e-40
860,1.0763825542061784e-40
861,1.0763178348131538e-40
862,1.0762532739984782e-40
863,1.0761888711817167e-40
864,1.076124625785254e-40
865,1.0760605372342818e-40
866,1.0759966049567801e-40
867,1.0759328283834958e-40
868,1.0758692069479357e-40
869,1.0758057400863392e-40
870,1.075742427237669e-40
871,1.075679267843596e-40
872,1.0756162613484728e-40
873,1.0755534071993315e-40
874,1.0754907048458544e-40
875,1.07542815374037e-40
876,1.0753657533378209e-40
877,1.0753035030957858e-40
878,1.0752414024743996e-40
879,1.0751794509364015e-40
880,1.0751176479470834e-40
881,1.0750559929742891e-40
882,1.0749944854883916e-40
883,1.074933124962283e-40
884,1.0748719108713573e-40
885,1.0748108426934966e-40
886,1.0747499199090561e-40
887,1.0746891420008496e-40
888,1.0746285084541326e-40
889,1.0745680187565942e-40
890,1.0745076723983346e-40
891,1.0744474688718591e-40
892,1.0743874076720557e-40
893,1.0743274882961894e-40
894,1.0742677102438817e-40
895,1.0742080730171007e-40
896,1.0741485761201454e-40
897,1.0740892190596326e-40
898,1.074030001344487e-40
899,1.0739709224859198e-40
900,1.073911981997419e-40
901,1.0738531793947464e-40
902,1.0737945141959036e-40
903,1.0737359859211376e-40
904,1.0736775940929208e-40
905,1.0736193382359338e-40
906,1.0735612178770627e-40
907,1.073503232545376e-40
908,1.0734453817721204e-40
909,1.0733876650906996e-40
910,1.0733300820366736e-40
911,1.0732726321477348e-40
912,1.0732153149637026e-40
913,1.0731581300265093e-40
914,1.073101076880186e-40
915,1.0730441550708548e-40
916,1.0729873641467137e-40
917,1.0729307036580264e-40
918,1.0728741731571101e-40
919,1.0728177721983197e-40
920,1.0727615003380466e-40
921,1.0727053571346952e-40
922,1.0726493421486798e-40
923,1.072593454942409e-40
924,1.0725376950802767e-40
925,1.072482062128649e-40
926,1.0724265556558549e-40
927,1.0723711752321738e-40
928,1.0723159204298246e-40
929,1.072260790822957e-40
930,1.0722057859876365e-40
931,1.0721509055018379e-40
932,1.0720961489454325e-40
933,1.0720415159001767e-40
934,1.0719870059497026e-40
935,1.0719326186795095e-40
936,1.0718783536769485e-40
937,1.0718242105312183e-40
938,1.0717701888333468e-40
939,1.0717162881761912e-40
940,1.0716625081544191e-40
941,1.071608848364502e-40
942,1.0715553084047065e-40
943,1.071501887875082e-40
944,1.071448586377451e-40
945,1.0713954035154034e-40
946,1.0713423388942777e-40
947,1.0712893921211636e-40
948,1.0712365628048806e-40
949,1.071183850555976e-40
950,1.0711312549867133e-40
951,1.0710787757110608e-40
952,1.0710264123446869e-40
953,1.0709741645049446e-40
954,1.070922031810869e-40
955,1.0708700138831627e-40
956,1.0708181103441895e-40
957,1.0707663208179623e-40
958,1.0707146449301392e-40
959,1.07066308230801e-40
960,1.0706116325804912e-40
961,1.0705602953781137e-40
962,1.0705090703330112e-40
963,1.0704579570789242e-40
964,1.0704069552511748e-40
965,1.0703560644866718e-40
966,1.070305284423891e-40
967,1.0702546147028793e-40
968,1.0702040549652314e-40
969,1.0701536048540927e-40
970,1.07010326401415e-40
971,1.070053032091615e-40
972,1.0700029087342276e-40
973,1.0699528935912372e-40
974,1.0699029863134027e-40
975,1.0698531865529761e-40
976,1.0698034939637067e-40
977,1.0697539082008186e-40
978,1.0697044289210147e-40
979,1.0696550557824638e-40
980,1.0696057884447886e-40
981,1.06955662656907e-40
982,1.0695075698178253e-40
983,1.069458617855011e-40
984,1.0694097703460095e-40
985,1.0693610269576237e-40
986,1.0693123873580696e-40
987,1.0692638512169682e-40
988,1.0692154182053387e-40
989,1.0691670879955892e-40
990,1.0691188602615144e-40
991,1.0690707346782805e-40
992,1.0690227109224239e-40
993,1.0689747886718449e-40
994,1.0689269676057931e-40
995,1.0688792474048707e-40
996,1.0688316277510151e-40
997,1.0687841083275001e-40
998,1.0687366888189257e-40
999,1.0686893689112064e-40
1000,1.0686421482915776e-40
