# inelastic nu-c12 scattering
# Include only n=1->13 multipole transition, see more at BigstickPublick/examples/C/C12_YSOX_more_states/
# nu energy [MeV], inelastic cross section [cm^2]
1,0.
2,0.
3,0.
4,0.
5,0.
6,0.
7,0.
8,0.
9,0.
10,0.
11,0.
12,0.
13,0.
14,0.
15,0.
16,2.2735130415355413e-44
17,1.0587288445991062e-43
18,2.503904614288149e-43
19,4.566410994466004e-43
20,7.24892847159185e-43
21,1.0553267371055375e-42
22,1.4480353744457303e-42
23,1.9030218921910712e-42
24,2.42019922724256e-42
25,2.999389685248323e-42
26,3.6403247718989797e-42
27,4.3426452745833024e-42
28,5.1059015824191255e-42
29,5.929554235309369e-42
30,6.812974694337875e-42
31,7.755446326832236e-42
32,8.756165599988688e-42
33,9.814243477217497e-42
34,1.0928707011420463e-41
35,1.2098501129320777e-41
36,1.332249060077509e-41
37,1.4599462186741505e-41
38,1.5928126959278454e-41
39,1.7307122786625493e-41
40,1.8735016976081674e-41
41,2.0210309067058763e-41
42,2.1731433766354215e-41
43,2.3296764017367623e-41
44,2.4904614194678543e-41
45,2.655324341511809e-41
46,2.8240858956203354e-41
47,2.996561977256517e-41
48,3.1725640100788256e-41
49,3.3518993142899765e-41
50,3.5343714818588506e-41
51,3.7197807576113824e-41
52,3.90792442517715e-41
53,4.098597196772341e-41
54,4.2915916057968914e-41
55,4.486698401224063e-41
56,4.683706942764073e-41
57,4.882405595790255e-41
58,5.082582125025924e-41
59,5.284024086003167e-41
60,5.486519213320412e-41
61,5.689855804744762e-41
62,5.893823100226443e-41
63,6.098211654917352e-41
64,6.302813705312427e-41
65,6.507423527662369e-41
66,6.711837787837843e-41
67,6.915855881859632e-41
68,7.119280266345193e-41
69,7.321916778160503e-41
70,7.523574942605632e-41
71,7.724068269504412e-41
72,7.923214536611249e-41
73,8.120836059792617e-41
74,8.316759949486041e-41
75,8.5108183529858e-41
76,8.702848682151598e-41
77,8.89269382618419e-41
78,9.080202349159961e-41
79,9.265228672064941e-41
80,9.447633239116906e-41
81,9.62728266821276e-41
82,9.80404988538613e-41
83,9.977814243207957e-41
84,1.0148461623109688e-40
85,1.03158845216549e-40
86,1.0479982120830638e-40
87,1.0640660342473983e-40
