# bin number, events/PE (associated with "CCM bkg energy edges.csv")
1,0
2,0
3,0
4,0
5,0
6,0
7,0.099999
8,0.699993
9,3.299967
10,29.6997
11,128.382
12,260.8307
13,373.4463
14,466.5453
15,542.9446
16,645.9802
17,719.3728
18,727.3794
19,703.493
20,639.6186
21,536.3646
22,430.3724
23,346.5865
24,281.3105
25,234.2377
26,180.2795
27,126.9894
28,90.39243
29,65.10868
30,47.48886
31,35.75164
32,27.68639
33,21.81578
34,17.77316
35,14.82652
36,12.60921
37,10.67323
38,9.307907
39,8.411916
40,7.234594
41,6.187938
42,4.97195
43,3.707296
44,2.928637
45,2.311977
46,1.787315
47,1.484652
48,1.275987
49,0.9993233
50,0.8239918
51,0.7186595
52,0.4997283
53,0.3299967
54,0.234131
55,0.1774649
56,0.1515985
57,0.130132
58,0.1093322
59,0.104799
60,0.09426572
61,0.08919911
62,0.08879911
63,0.08133252
64,0.07426592
65,0.07093262
66,0.07599924
67,0.06613267
68,0.06193271
69,0.05853275
70,0.04866618
71,0.04739953
72,0.04299957
73,0.04093292
74,0.03966627
75,0.03326633
76,0.03566631
77,0.03186635
78,0.03033303
79,0.02739973
80,0.02213311
81,0.02259977
82,0.02439976
83,0.02259977
84,0.02586641
85,0.02413309
86,0.0235331
87,0.02286644
88,0.0264664
89,0.02219978
90,0.02393309
91,0.0199998
92,0.01593317
93,0.01266654
94,0.00966657
95,0.008466582
96,0.007266594
97,0.005066616
98,0.004533288
99,0.003866628
100,0.00233331
101,0.001266654
102,0.000733326
103,0.00133332
104,0.000799992
105,0.000599994
106,0.000466662
107,0.00033333
108,6.6666e-05
109,0.00033333
110,0.000133332
111,0
112,0.000199998
113,0
114,0
115,0
116,6.6666e-05
117,0.000133332
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,6.6666e-05
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
