# PE, efficiency
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 7.064356541154159785e-02
9.000000000000000000e+00 1.549307027804415204e-01
1.000000000000000000e+01 2.456935430166237166e-01
1.100000000000000000e+01 3.396838729666710188e-01
1.200000000000000000e+01 4.331587990544326638e-01
1.300000000000000000e+01 5.224561024630002271e-01
1.400000000000000000e+01 6.045439217243114838e-01
1.500000000000000000e+01 6.773790996247616158e-01
1.600000000000000000e+01 7.400018454135636192e-01
1.700000000000000000e+01 7.924032177853620462e-01
1.800000000000000000e+01 8.352653695377146859e-01
1.900000000000000000e+01 8.696772030090046401e-01
2.000000000000000000e+01 8.968934796251021302e-01
2.100000000000000000e+01 9.181646053610436065e-01
2.200000000000000000e+01 9.346354113747606940e-01
2.300000000000000000e+01 9.472976268135518962e-01
2.400000000000000000e+01 9.569781016810413599e-01
2.500000000000000000e+01 9.643476616619631736e-01
2.600000000000000000e+01 9.699398709210734770e-01
2.700000000000000000e+01 9.741729871563696852e-01
2.800000000000000000e+01 9.773713704287109172e-01
2.900000000000000000e+01 9.797845594568584948e-01
3.000000000000000000e+01 9.816033900435575665e-01
3.100000000000000000e+01 9.829731562885314355e-01
3.200000000000000000e+01 9.840041109031766320e-01
3.300000000000000000e+01 9.847797078393575321e-01
3.400000000000000000e+01 9.853629981317321151e-01
3.500000000000000000e+01 9.858015512449874729e-01
3.600000000000000000e+01 9.861312186640794897e-01
3.700000000000000000e+01 9.863789990915022843e-01
3.800000000000000000e+01 9.865652124017681990e-01
3.900000000000000000e+01 9.867051450120633005e-01
4.000000000000000000e+01 9.868102928791374628e-01
4.100000000000000000e+01 9.868892992201719894e-01
4.200000000000000000e+01 9.869486611983849800e-01
4.300000000000000000e+01 9.869932620818754332e-01
4.400000000000000000e+01 9.870267717443325095e-01
4.500000000000000000e+01 9.870519479486726810e-01
4.600000000000000000e+01 9.870708629186194516e-01
4.700000000000000000e+01 9.870850736833501893e-01
4.800000000000000000e+01 9.870957501250646748e-01
4.900000000000000000e+01 9.871037712186153668e-01
5.000000000000000000e+01 9.871097973569932238e-01
5.100000000000000000e+01 9.871143247007322374e-01
5.200000000000000000e+01 9.871177260166826839e-01
5.300000000000000000e+01 9.871202813633902506e-01
5.400000000000000000e+01 9.871222011466634916e-01
5.500000000000000000e+01 9.871236434420275208e-01
5.600000000000000000e+01 9.871247270094433146e-01
5.700000000000000000e+01 9.871255410713996037e-01
5.800000000000000000e+01 9.871261526592179925e-01
5.900000000000000000e+01 9.871266121323033493e-01
